voltage,current,percentage,data,xl1,yl1,xo1,yo1,zo1,wo1,xav1,yav1,zav1,xla1,yla1,zla1,xav2,yav2,zav2,xla2,yla2,zla2,xmf,ymf,mf,fluid_pressure,temperature,xo2,yo2,zo2,wo2,xp1,yp1,zp1,xtl1,ytl1,ztl1,xa1,ya1,za1,xp2,yp2,zp2,xo2,yo2,zo2,wo2,latitude1,longitude1,altitude1,xp3,yp3,zp3,xo3,yo3,zo3,wo3,xl3,yl3,zl3,latitude2,longitude2,altitude2,data,xlt1,ylt1,zlt1,xlt2,ylt2,zlt2,xat,yat,zat,normality
16.35499954,0,0.99000001,62.87,-0.221121304,0.296656988,-0.00854835,-0.003527536,-0.234472697,-0.972078719,0.000726824,0.000720219,-0.001413225,-0.0980665,0.0980665,9.7870367,-0.002,1.22E-19,0.001,-0.0980665,0.0980665,9.7870367,110000,218000,-370000,94246.62476,42.96,-0.00854835,-0.003527536,-0.234472697,-0.972078719,-0.365975857,2.849562645,-0.978034973,0.002556884,-0.062030604,-0.078546508,0.000726824,0.000720219,-0.001413225,-0.365975857,2.849562645,-0.978034973,-0.00854835,-0.003527536,-0.234472697,-0.972078719,40.3548489,-3.7441341,706.5866121,4.715257118,0.011106857,-0.978,-0.00854835,-0.003527536,-0.234472697,-0.972078719,0.02,-0.05,0.07,40.3548465,-3.7441305,694.0066067,-0.978,0.029695153,-0.052859798,-0.079673879,0.002556884,-0.062030604,-0.078546508,0.000726824,0.000720219,-0.001413225,1
16.3579998,0,0.99000001,62.87,-0.155382538,0.208461668,-0.00849512,-0.003502702,-0.234469066,-0.972080152,-0.00058129,0.001727811,0.000447861,-0.10787315,0.0784532,9.7870367,0.001,2.45E-19,0.002,-0.10787315,0.0784532,9.7870367,108000,221000,-372000,94244.22607,42.96,-0.00849512,-0.003502702,-0.234469066,-0.972080152,-0.345016003,2.863278866,-0.981565237,0.002380465,-0.046594102,-0.076982257,-0.00058129,0.001727811,0.000447861,-0.345016003,2.863278866,-0.981565237,-0.00849512,-0.003502702,-0.234469066,-0.972080152,40.3548491,-3.7441338,706.576612,4.740744973,0.033317632,-0.981,-0.00849512,-0.003502702,-0.234469066,-0.972080152,0.02,-0.03,0.07,40.3548468,-3.7441302,694.0166067,-0.981,0.0225247,-0.039234038,-0.077822059,0.002380465,-0.046594102,-0.076982257,-0.00058129,0.001727811,0.000447861,1
16.4090004,0,0.99000001,62.87,-0.029881257,0.040088782,-0.00826459,-0.003502308,-0.234504769,-0.972073528,-0.001721766,0.00150988,0.000671123,-0.10787315,0.0784532,9.7870367,0.001,0,0,-0.10787315,0.0784532,9.7870367,112000,221000,-379000,94249.37134,42.96,-0.00826459,-0.003502308,-0.234504769,-0.972073528,-0.325778484,2.871742249,-0.979526758,0.000126721,-0.035739215,-0.074425585,-0.001721766,0.00150988,0.000671123,-0.325778484,2.871742249,-0.979526758,-0.00826459,-0.003502308,-0.234504769,-0.972073528,40.3548491,-3.7441336,706.5866118,4.757736898,0.033317643,-0.979,-0.00826459,-0.003502308,-0.234504769,-0.972073528,0.01,-0.03,0.07,40.3548472,-3.74413,693.9566069,-0.979,0.015609389,-0.030672189,-0.075046912,0.000126721,-0.035739215,-0.074425585,-0.001721766,0.00150988,0.000671123,1
16.47400093,0,0.99000001,62.88,-0.047810012,0.064142052,-0.008123287,-0.003485709,-0.234479732,-0.972080818,-0.000181804,-0.000166736,-0.001958597,-0.10787315,0.08825985,9.81645665,0,0,0,-0.10787315,0.08825985,9.81645665,112000,218000,-380000,94248.54736,42.96,-0.008123287,-0.003485709,-0.234479732,-0.972080818,-0.308845043,2.870335102,-0.986785412,-0.004667471,-0.029569521,-0.073992706,-0.000181804,-0.000166736,-0.001958597,-0.308845043,2.870335102,-0.986785412,-0.008123287,-0.003485709,-0.234479732,-0.972080818,40.3548491,-3.7441334,706.5766117,4.774728808,0.033317654,-0.986,-0.008123287,-0.003485709,-0.234479732,-0.972080818,0,-0.02,0.07,40.354847,-3.7441297,693.8166065,-0.986,0.008540657,-0.027394505,-0.07448262,-0.004667471,-0.029569521,-0.073992706,-0.000181804,-0.000166736,-0.001958597,1
16.35499954,0,0.99000001,62.88,-0.047810012,0.064142052,-0.00802102,-0.003425721,-0.23441008,-0.972098679,0.000948657,-0.001027484,0.000799049,-0.10787315,0.0784532,9.79684335,0,1.22E-19,0.001,-0.10787315,0.0784532,9.79684335,118000,218000,-379000,94245.54443,42.96,-0.00802102,-0.003425721,-0.23441008,-0.972098679,-0.289493084,2.868251324,-0.99546957,-0.008208791,-0.023324238,-0.073608916,0.000948657,-0.001027484,0.000799049,-0.289493084,2.868251324,-0.99546957,-0.00802102,-0.003425721,-0.23441008,-0.972098679,40.3548491,-3.7441332,706.5666115,4.791720718,0.033317665,-0.995,-0.00802102,-0.003425721,-0.23441008,-0.972098679,0,-0.02,0.07,40.3548468,-3.7441295,693.7166061,-0.995,0.002554954,-0.023469843,-0.073975101,-0.008208791,-0.023324238,-0.073608916,0.000948657,-0.001027484,0.000799049,1
16.3579998,0,0.99000001,62.88,-0.089643772,0.120266347,-0.007939567,-0.003424572,-0.234367084,-0.972109719,-0.000276576,0.000935694,-0.00056531,-0.0980665,0.0784532,9.7870367,0,0,0,-0.0980665,0.0784532,9.7870367,107000,221000,-369000,94246.83228,42.96,-0.007939567,-0.003424572,-0.234367084,-0.972109719,-0.263808727,2.845855713,-0.995669603,-0.012888104,-0.026239714,-0.071924753,-0.000276576,0.000935694,-0.00056531,-0.263808727,2.845855713,-0.995669603,-0.007939567,-0.003424572,-0.234367084,-0.972109719,40.3548489,-3.7441329,706.566611,4.817208608,0.011106923,-0.995,-0.007939567,-0.003424572,-0.234367084,-0.972109719,0,-0.02,0.07,40.3548465,-3.7441291,693.7466055,-0.995,-0.000263535,-0.028232332,-0.072323315,-0.012888104,-0.026239714,-0.071924753,-0.000276576,0.000935694,-0.00056531,1
16.34399986,0,0.99000001,62.89,-0.149406287,0.200443911,-0.007968465,-0.00342359,-0.234343993,-0.972115053,-0.00088261,-0.000706063,-0.002731406,-0.10787315,0.06864655,9.80665,-0.001,0,0,-0.10787315,0.06864655,9.80665,109000,218000,-369000,94247.0459,42.96,-0.007968465,-0.00342359,-0.234343993,-0.972115053,-0.234778881,2.811482906,-0.994208813,-0.017998509,-0.032674504,-0.068953882,-0.00088261,-0.000706063,-0.002731406,-0.234778881,2.811482906,-0.994208813,-0.007968465,-0.00342359,-0.234343993,-0.972115053,40.3548486,-3.7441325,706.5666104,4.851192464,-0.022209193,-0.994,-0.007968465,-0.00342359,-0.234343993,-0.972115053,0,-0.03,0.06,40.3548459,-3.7441287,693.7266045,-0.994,-0.001852402,-0.036325388,-0.069449566,-0.017998509,-0.032674504,-0.068953882,-0.00088261,-0.000706063,-0.002731406,1
16.47299957,0,0.99000001,62.88,-0.059762515,0.080177564,-0.008035301,-0.003450387,-0.234341745,-0.97211495,0.000916903,0.000218247,0.001493177,-0.10787315,0.0784532,9.77723005,0.001,2.45E-19,0.002,-0.10787315,0.0784532,9.77723005,109000,222000,-377000,94247.76611,42.96,-0.008035301,-0.003450387,-0.234341745,-0.97211495,-0.209600449,2.796050072,-0.998376608,-0.019310909,-0.029610883,-0.069341071,0.000916903,0.000218247,0.001493177,-0.209600449,2.796050072,-0.998376608,-0.008035301,-0.003450387,-0.234341745,-0.97211495,40.3548485,-3.7441322,706.5666101,4.876680348,-0.033314555,-0.998,-0.008035301,-0.003450387,-0.234341745,-0.97211495,0,-0.03,0.06,40.354845,-3.7441285,693.9666035,-0.998,-0.004426297,-0.034183085,-0.069784127,-0.019310909,-0.029610883,-0.069341071,0.000916903,0.000218247,0.001493177,1
16.45299912,0,0.99000001,62.89,-0.173311293,0.232514937,-0.008042063,-0.003512912,-0.234355293,-0.972111404,0.001039024,0.000834432,-0.00045498,-0.08825985,0.0784532,9.77723005,0.002,0.002,-2.45E-19,-0.08825985,0.0784532,9.77723005,118000,218000,-373000,94248.06519,42.96,-0.008042063,-0.003512912,-0.234355293,-0.972111404,-0.192202568,2.775269032,-0.999324083,-0.024587571,-0.027747719,-0.068668402,0.001039024,0.000834432,-0.00045498,-0.192202568,2.775269032,-0.999324083,-0.008042063,-0.003512912,-0.234355293,-0.972111404,40.3548483,-3.744132,706.5666097,4.89367228,-0.055525302,-0.999,-0.008042063,-0.003512912,-0.234355293,-0.972111404,0,-0.03,0.06,40.3548448,-3.7441284,693.9966032,-0.999,-0.009972611,-0.034940027,-0.069062114,-0.024587571,-0.027747719,-0.068668402,0.001039024,0.000834432,-0.00045498,1
16.3560009,0,0.99000001,62.9,-0.197216299,0.264585963,-0.00805416,-0.003456654,-0.23428244,-0.972129066,-0.000425078,0.000855639,-0.002121192,-0.0980665,0.08825985,9.7870367,0,-0.001,1.22E-19,-0.0980665,0.08825985,9.7870367,114000,218000,-368000,94245.56885,42.96,-0.00805416,-0.003456654,-0.23428244,-0.972129066,-0.177440643,2.727000237,-0.997310162,-0.034534798,-0.033301332,-0.06591896,-0.000425078,0.000855639,-0.002121192,-0.177440643,2.727000237,-0.997310162,-0.00805416,-0.003456654,-0.23428244,-0.972129066,40.3548478,-3.7441318,706.566609,4.910664234,-0.111052186,-0.997,-0.00805416,-0.003456654,-0.23428244,-0.972129066,-0.01,-0.04,0.06,40.3548439,-3.7441285,694.0466024,-0.997,-0.016267564,-0.04444854,-0.066382483,-0.034534798,-0.033301332,-0.06591896,-0.000425078,0.000855639,-0.002121192,1
