rosbagTimestamp,seq,secs,nsecs,xl,yl,zl,normality
1.57E+18,114,1574069801,12252347,-0.197216299,0.264585963,0,1
1.57E+18,115,1574069801,273144321,-0.137453784,0.184408398,0,1
1.57E+18,116,1574069801,531611086,-0.011952503,0.016035513,0,1
1.57E+18,117,1574069801,790678755,-0.047810012,0.064142052,0,1
1.57E+18,118,1574069802,47637279,-0.077691269,0.104230834,0,1
1.57E+18,119,1574069802,315343317,-0.101596275,0.13630186,0,1
1.57E+18,120,1574069802,603077054,-0.137453784,0.184408398,0,1
1.57E+18,121,1574069802,865379391,-0.053786263,0.072159808,0,1
1.57E+18,122,1574069803,91852668,-0.125501281,0.168372885,0,1
1.57E+18,123,1574069803,347540366,-0.077691269,0.104230834,0,1
1.57E+18,124,1574069803,591191825,-0.059762515,0.080177564,0,1
1.57E+18,125,1574069803,854779503,-0.24502631,0.328728014,0,1
1.57E+18,126,1574069804,134606814,-0.107572526,0.144319616,0,1
1.57E+18,127,1574069804,367947523,-0.173311293,0.232514937,0,1
1.57E+18,128,1574069804,629898658,-0.095620024,0.128284103,0,1
1.57E+18,129,1574069804,891411874,-0.071715018,0.096213077,0,1
1.57E+18,130,1574069805,130120379,-0.047810012,0.064142052,0,1
1.57E+18,131,1574069805,372345988,-0.107572526,0.144319616,0,1
1.57E+18,132,1574069805,652534770,-0.047810012,0.064142052,0,1
1.57E+18,133,1574069805,892008864,-0.298812573,0.400887822,0,1
1.57E+18,134,1574069806,155715031,-0.316741328,0.424941091,0,1
1.57E+18,135,1574069806,409291433,-0.071715018,0.096213077,0,1
1.57E+18,136,1574069806,722073869,-0.418337603,0.561242951,0,1
1.57E+18,137,1574069807,11902959,-0.818746451,1.098432633,0,1
1.57E+18,138,1574069807,236729994,-0.394432597,0.529171925,0,1
1.57E+18,139,1574069807,471957033,-0.101596275,0.13630186,0,1
1.57E+18,140,1574069807,726736093,-0.167335041,0.22449718,0,1
1.57E+18,141,1574069808,1258251,-0.089643772,0.120266347,0,1
